S.No,Course ID,Discipline,Course Name,SME Name,Institute,Duration,Start date,End date,Exam date,Course URL,Substring 1,Substring 2
398,noc24-ma01,Mathematics,Advanced Computational Techniques,Prof. Somnath Bhattacharyya,IITKGP,4 Weeks,"Jan 22, 2024","Feb 16, 2024","Mar 23, 2024",https://onlinecourses.nptel.ac.in/noc24_ma01/preview,"ABOUT THE COURSE: There are several basic online courses on numerical methods available, however a course which can provide a foundation for the advanced numerical modeling and scientific computing is infrequent. This course is designed as an introductory course on advanced topics on numerical methods for engineering and science students. It is intended to teach the implementation of numerical methods rather than just provide theoretical foundations of the methods. Scientific computing is an integral part of several disciplines including computational mathematics. The completion of this course will equipped the students in handling advanced computational tools. All the methods will be illustrated by working out several examples.",Basic UG course in Mathematics/ Undergraduate Calculus
399,noc24-ma02,Mathematics,Advanced Course on Partial Differential Equations - II,Prof. A K Nandakumaran Prof. P.S. Datti,IISc,8 Weeks,"Feb 19, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma02/preview,This is a continuation of our earlier NPTEL course “Advanced Course on Partial Differential Equations – I”. This course is also for 8 weeks consisting of 20 one hour lecture hours. Half of the course (roughly 10 hours) is devoted to various aspects of elliptic equations and the rest deals with evolution equations (using the semi-groups as the tool).,"Measure and , Integration; Functional Analysis, including Semi-group theory. Basic PDE. NPTEL Course on “Advanced Course on Partial Differential Equations – I”"
400,noc24-ma04,Mathematics,Advanced Linear Algebra,Prof. Premananda Bera,IITR,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma04/preview,"ABOUT THE COURSE: This course is designed to provide students with an understanding of Mathematical concept on Linear algebra that includes basic as well as advanced level. Attempt is taken to cover both Both theoretical as well as computation perspectives. There are six componenets: i) Linear System of equations, (ii) Vector spaces, (iii) Linear transformations, (iv) Cannonical forms and Jordan forms, (v) Inner product spaces and different operators in it, (vi ) Bilinear and Quadratic forms,Orthogonal projection and Spectral theory, and (vii) Singular value decomposition. INTENDED AUDIENCE: Master students of Mathematics,,Physics, B.Tech III Year Electrical, Computer Science",NILL
401,noc24-ma05,Mathematics,Advanced Probability Theory,Prof. Niladri Chatterjee,IITD,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma05/preview,"The course introduces the concept of probability through Kolmogorov’s Axioms. It develops the concept of probability density function, cumulative distribution function, and introduces the concept of a random variable. Different theoretical probability distributions, both discrete and continuous are introduced, and their properties are studied. Different generating functions, viz. MGF, PGF, and characteristic functions of different variables are discussed. It also introduces functions of one or two random variables, and derived random variables, such as t, chisq, F are studied in details. The concept of Order Statistics is introduced, and derivation of distribution of range, median etc. are discussed. Different limit theorems are discussed in detail.","Basics of Real Analysis, Functions of two variables, Convergence of a function."
402,noc24-ma06,Mathematics,Algebra - II,Prof. Sankaran Viswanath Prof. Amritanshu Prasad,IMSc,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma06/preview,"Second part of Foundational PG level course in algebra, suitable for M.Sc and first year PhD students in Mathematics.",Algebra I (highly recommended)
403,noc24-ma07,Mathematics,Algebraic Combinatorics,Prof. Amritanshu Prasad Prof. Sankaran Viswanath,IMSc,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma07/preview,"Second part of Foundational PG level course in algebra, suitable for M.Sc and first year PhD students in Mathematics.",Algebra I (highly recommended)
404,noc24-ma08,Mathematics,An Introduction to Hyperbolic Geometry,Prof. Abhijit Pal,IITK,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc24_ma08/preview," Hyperbolic geometry is a non-Euclidean Geometry which has wide applications in mathematics and is a central object to study group theory from a geometrical view point. Many surfaces and three manifolds exhibit hyperbolic geometry. In this course,  we will learn basic hyperbolic geometry and then move on to its applications in geometric group theory. INTENDED AUDIENCE: PG & PhD Students but an UG student with background in topology, algebra and complex analysis can take this course."," Topology, Algebra (Group Theory), Complex Analysis"
405,noc24-ma09,Mathematics,An introduction to Point-Set-Topology Part-I,Prof. Anant R Shastri,IITB,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 27, 2024",https://onlinecourses.nptel.ac.in/noc22_ma25/preview,"The course will start with definition of metric spaces and topological spaces and proceeds to study topological aspects of metric spaces. W e prove three very important theorems on complete metric spaces and give construction of completion of metric spaces. The course then takes up the study of topological spaces, constructing new topologies from the old. Bases and subbases, I and II countability, separability, connected and path connectedness, Compactness , Lindeloffness, separation axioms etc. The course ends with the celebrated results such as Urysohn’s lemma and Titze’s extension theorem and some applications. The content of this course is mandatory for any meaningful study of analysis and further topology. The lecture slides are backed up by full notes, a strong team of tutors who will handle all the queries sympathetically and also by a number of online interactive session.","Anybody who has passed 12 standard can take this course though one course in real analysis available on NPTEL Portal is preferable."
406,noc24-ma11,Mathematics,Applied Linear Algebra in AI and ML,Prof. Swanand Khare,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",https://onlinecourses.nptel.ac.in/noc24_ma11/preview,"Linear algebra, optimization techniques and statistical methods together form essential tools for most of the algorithms in artificial intelligence and machine learning. In this course, we propose to build some background in these mathematical foundations and prepare students to take on advanced study or research in the field of AI and ML. The objective of this course is to familiarize students with the important concepts and computational techniques in linear algebra useful for AI and ML applications. The unique objective of this course and the distinguishing point from the existing courses on the similar topics is the illustration of application of these concepts to many problems in AI and ML. Some of the key topics to be covered in this course are listed below: least squares solution, parameter estimation problems, concept of cost function and relation to parameter estimation, constrained least squares, multi-objective least squares, applications to portfolio optimization, sparse solutions to underdetermined systems of linear equations, applications to dictionary learning, eigenvalue eigenvector decomposition of square matrices, spectral theorem for symmetric matrices, SVD, multicollinearity problem and applications to principal component analysis (PCA) and dimensionality reduction, power method, application to Google page ranking algorithm, inverse eigenvalue problem, construction of Markov chains from the given stationary distribution, low rank approximation and structured low rank approximation problem (SLRA), Autoregressive model order selection using Hankel SLRA, approximate GCD computation and application to image de- blurring, tensors and CP tensor decomposition, tensor decomposition based sparse learning in deep networks, matrix completion problems, application to collaborative filtering", First course in Engineering Mathematics with some exposure to linear algebra
407,noc24-ma15,Mathematics,Computational Mathematics with SageMath,Prof. Ajit Kumar,"Institute of Chemical Technology, Mumbai",12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024",https://onlinecourses.nptel.ac.in/noc24_ma15/preview,"About the course: Computational Mathematics with SageMath: This twelve week course aims to use SageMath, a Python based free and open source computer algebra system (CAS) to explore concepts in Calculus, Applied Linear Algebra, Numerical Methods and basic Linear Programming Problems.  The course will begin with the introduction of basic Python programming language. Next, we shall provide a quick introduction to SageMath software along with plotting 2D and 3D objects. The focus will be on using SageMath to explore topics in Calculus, Applied Linear Algebra, Numerical Method and Linear Programming Problems along with several applications.",": Basic knowledge of Calculus, Linear Algebra and ODE and Numerical Methods. INDUSTRIES  SUPPORT  : Any industry dealing with Data Science and Numerical Computations."
